=== Prefill Profile ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              aten::sin         0.02%     111.984us         0.04%     193.036us      12.065us      47.135us         0.01%      47.135us       2.946us            16  
                    cudaThreadExchangeStreamCaptureMode         0.03%     170.411us         0.03%     170.411us       1.331us       0.000us         0.00%       0.000us       0.000us           128  
                                   cudaStreamEndCapture         0.03%     160.793us         0.03%     160.793us       2.512us       0.000us         0.00%       0.000us       0.000us            64  
                                   cudaDriverGetVersion         0.02%     111.332us         0.02%     111.332us       0.102us       0.000us         0.00%       0.000us       0.000us          1088  
                                      cudaGraphGetNodes         0.02%      99.859us         0.02%      99.859us       1.560us       0.000us         0.00%       0.000us       0.000us            64  
                                           Buffer Flush         0.02%      84.627us         0.02%      84.627us      84.627us       3.008us         0.00%       3.008us       3.008us             1  
                                          aten::resize_         0.01%      56.892us         0.01%      56.892us       3.556us       0.000us         0.00%       0.000us       0.000us            16  
                                          aten::detach_         0.00%      19.125us         0.01%      32.643us       2.040us       0.000us         0.00%       0.000us       0.000us            16  
                                                detach_         0.00%      13.518us         0.00%      13.518us       0.845us       0.000us         0.00%       0.000us       0.000us            16  
                                       aten::lift_fresh         0.00%       3.458us         0.00%       3.458us       0.216us       0.000us         0.00%       0.000us       0.000us            16  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      18.397us         0.01%      18.397us       1.150us            16  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us      64.638us         0.02%      64.638us       4.040us            16  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       5.613ms         1.78%       5.613ms       5.236us          1072  
void gemmk1_kernel<int, float, 256, 5, true, false, ...         0.00%       0.000us         0.00%       0.000us       0.000us      35.583us         0.01%      35.583us       2.224us            16  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      47.744us         0.02%      47.744us       2.984us            16  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      49.888us         0.02%      49.888us       3.118us            16  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      54.272us         0.02%      54.272us       1.696us            32  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      47.135us         0.01%      47.135us       2.946us            16  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.477ms         0.79%       2.477ms       2.311us          1072  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.363ms         0.75%       2.363ms       2.272us          1040  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       4.944ms         1.57%       4.944ms       4.754us          1040  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.122ms         0.67%       2.122ms       2.041us          1040  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.026ms         0.64%       2.026ms       1.948us          1040  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       3.511ms         1.11%       3.511ms       3.376us          1040  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 505.074ms
Self CUDA time total: 315.192ms

