=== OP PROFILE: static / PREFILL ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.393ms         2.50%       5.393ms       2.633us           0 b           0 b           0 b           0 b          2048  
                                             aten::mean         1.88%      10.402ms         2.79%      15.410ms      14.818us       5.274ms         2.45%       5.274ms       5.071us           0 b           0 b     520.00 Kb     520.00 Kb          1040  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       5.274ms         2.45%       5.274ms       5.071us           0 b           0 b           0 b           0 b          1040  
                                      aten::index_copy_         1.41%       7.804ms         2.46%      13.617ms      13.298us       5.136ms         2.38%       5.136ms       5.016us           0 b           0 b           0 b           0 b          1024  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.136ms         2.38%       5.136ms       5.016us           0 b           0 b           0 b           0 b          1024  
                                              aten::neg         1.41%       7.800ms         2.37%      13.117ms      12.809us       4.587ms         2.13%       4.587ms       4.480us           0 b           0 b       4.00 Mb       4.00 Mb          1024  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       4.587ms         2.13%       4.587ms       4.480us           0 b           0 b           0 b           0 b          1024  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       4.423ms         2.05%       4.423ms       2.850us           0 b           0 b           0 b           0 b          1552  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       3.860ms         1.79%       3.860ms       3.712us           0 b           0 b           0 b           0 b          1040  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.693ms         1.25%       2.693ms       2.512us           0 b           0 b           0 b           0 b          1072  
