=== OP PROFILE: densekv / PREFILL ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.301ms         1.03%       2.301ms       2.212us           0 b           0 b           0 b           0 b          1040  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.136ms         0.96%       2.136ms       2.054us           0 b           0 b           0 b           0 b          1040  
                                              aten::sub         1.15%       6.456ms         1.91%      10.677ms      10.427us       2.066ms         0.92%       2.066ms       2.018us           0 b           0 b       4.00 Mb       4.00 Mb          1024  
                                             aten::silu         0.84%       4.693ms         1.35%       7.586ms      14.816us       2.033ms         0.91%       2.033ms       3.971us           0 b           0 b      10.75 Mb      10.75 Mb           512  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.033ms         0.91%       2.033ms       3.971us           0 b           0 b           0 b           0 b           512  
                                            aten::fill_         0.42%       2.341ms         0.92%       5.156ms      10.070us     859.071us         0.38%     859.071us       1.678us           0 b           0 b           0 b           0 b           512  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     859.071us         0.38%     859.071us       1.678us           0 b           0 b           0 b           0 b           512  
                                 cudaDeviceGetAttribute         0.09%     522.133us         0.09%     522.133us       0.340us     405.564us         0.18%     405.564us       0.264us           0 b           0 b           0 b           0 b          1536  
                                           aten::argmax         0.04%     204.567us         0.06%     330.451us      20.653us     286.015us         0.13%     286.015us      17.876us           0 b           0 b       8.00 Kb       8.00 Kb            16  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     286.015us         0.13%     286.015us      17.876us           0 b           0 b           0 b           0 b            16  
                                       cudaLaunchKernel        27.92%     156.423ms        27.92%     156.423ms       5.296us     220.512us         0.10%     220.512us       0.007us           0 b           0 b           0 b           0 b         29536  
void cublasLt::splitKreduce_kernel<32, 16, int, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us     127.100us         0.06%     127.100us       7.944us           0 b           0 b           0 b           0 b            16  
                                   cudaFuncSetAttribute         0.13%     710.920us         0.13%     710.920us       1.389us     114.561us         0.05%     114.561us       0.224us           0 b           0 b           0 b           0 b           512  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 560.197ms
Self CUDA time total: 223.395ms

=== OP PROFILE: densekv / DECODE / CPU ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::linear         2.45%      13.701ms        40.52%     227.002ms      31.598us       0.000us         0.00%     127.130ms      17.696us           0 b           0 b      50.98 Mb           0 b          7184  
                                           aten::matmul         4.85%      27.164ms        33.46%     187.422ms      26.031us       0.000us         0.00%     127.168ms      17.662us           0 b           0 b      50.98 Mb           0 b          7200  
                                       cudaLaunchKernel        27.92%     156.423ms        27.92%     156.423ms       5.296us     220.512us         0.10%     220.512us       0.007us           0 b           0 b           0 b           0 b         29536  
                                               aten::mm        18.28%     102.392ms        26.36%     147.658ms      20.554us     127.130ms        56.91%     127.130ms      17.696us           0 b           0 b      50.98 Mb      50.98 Mb          7184  
                                              aten::mul         7.92%      44.356ms        13.23%      74.091ms      11.025us      26.317ms        11.78%      26.317ms       3.916us           0 b           0 b      51.14 Mb      51.14 Mb          6720  
                                               aten::to         0.57%       3.179ms         8.55%      47.886ms       9.042us       0.000us         0.00%       8.501ms       1.605us           0 b           0 b      24.41 Mb           0 b          5296  
                                         aten::_to_copy         1.23%       6.875ms         7.98%      44.706ms      20.697us       0.000us         0.00%       8.501ms       3.935us           0 b           0 b      24.41 Mb           0 b          2160  
                                            aten::copy_         3.29%      18.457ms         7.15%      40.069ms      12.584us      23.412ms        10.48%      23.414ms       7.353us           0 b           0 b           0 b           0 b          3184  
                                              aten::add         4.12%      23.108ms         6.76%      37.868ms      12.263us       7.078ms         3.17%       7.078ms       2.292us           0 b           0 b      12.51 Mb      12.51 Mb          3088  
                                                aten::t         2.14%      11.966ms         4.74%      26.576ms       3.699us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          7184  
                                     aten::index_select         1.51%       8.434ms         3.98%      22.289ms      21.431us       3.693ms         1.65%       3.697ms       3.554us           0 b           0 b     640.00 Kb           0 b          1040  
                                       aten::contiguous         0.17%     977.277us         3.76%      21.091ms      20.596us       0.000us         0.00%      14.913ms      14.564us           0 b           0 b       4.09 Gb           0 b          1024  
                                            aten::clone         0.37%       2.079ms         3.59%      20.113ms      19.642us       0.000us         0.00%      14.913ms      14.564us           0 b           0 b       4.09 Gb           0 b          1024  
                                        aten::transpose         2.16%      12.121ms         3.37%      18.877ms       1.838us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         10272  
                                              aten::pow         1.78%       9.960ms         3.09%      17.290ms      16.625us       2.632ms         1.18%       2.634ms       2.533us           0 b           0 b      16.25 Mb      16.25 Mb          1040  
                                             aten::mean         1.88%      10.544ms         2.80%      15.700ms      15.097us       5.408ms         2.42%       5.414ms       5.205us           0 b           0 b     520.00 Kb     519.50 Kb          1040  
                                              aten::cat         1.70%       9.505ms         2.66%      14.907ms      14.334us       4.246ms         1.90%       4.246ms       4.083us           0 b           0 b       8.01 Mb       8.01 Mb          1040  
                                      aten::index_copy_         1.41%       7.911ms         2.53%      14.195ms      13.862us       5.047ms         2.26%       5.047ms       4.929us           0 b           0 b           0 b           0 b          1024  
                                    aten::empty_strided         2.24%      12.545ms         2.24%      12.545ms       4.695us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      28.41 Mb      28.41 Mb          2672  
                                            aten::empty         2.23%      12.500ms         2.23%      12.500ms       3.457us       0.000us         0.00%       0.000us       0.000us         128 b         128 b       4.13 Gb       4.13 Gb          3616  
                                              aten::sub         1.15%       6.456ms         1.91%      10.677ms      10.427us       2.066ms         0.92%       2.066ms       2.018us           0 b           0 b       4.00 Mb       4.00 Mb          1024  
                                            aten::rsqrt         1.07%       6.020ms         1.86%      10.445ms      10.043us       2.301ms         1.03%       2.301ms       2.212us           0 b           0 b     520.00 Kb     520.00 Kb          1040  
                                       aten::as_strided         1.85%      10.357ms         1.85%      10.357ms       0.585us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         17696  
                                       aten::empty_like         0.43%       2.385ms         1.84%      10.294ms       6.702us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       4.09 Gb           0 b          1536  
                                          aten::reshape         1.11%       6.209ms         1.74%       9.747ms       1.181us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          8256  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 560.197ms
Self CUDA time total: 223.395ms

